Accession	PC1	PC2	Family	Species	cluster
AB334721	794.2412764473618	-49.0926020761817	Inoviridae	Inovirus M13	4
AB903967	-516.0266528648799	157.87449842153714	Herelleviridae	Kayvirus SA12	9
AB983711	429.1520055791186	-290.09914025599664	Autonotataviridae	Risjevirus RSJ5	0
AF063097	430.13975554582953	224.5742372750384	Peduoviridae	Peduovirus P2	8
AF115103	455.0015811229382	226.2859531289156	Aliceevansviridae	Moineauvirus Sfi21	8
AP017972	-104.77915049943611	42.80599000510726	Chimalliviridae	Tidunavirus pTD1	5
AP018715	-438.2040905724237	184.02535812061677	Herelleviridae	Enterococcus phage phiM1EF22	9
AP018813	-999.5086316203827	-271.36975253655373	Straboviridae	Tequatrovirus T2	3
AP019521	-1007.5092614401012	-236.05447376378515	Straboviridae	Escherichia phage KIT01	3
AY264774	477.3106387379087	-398.5517154998983	Autotranscriptaviridae	Teseptimavirus T7	0
AY264778	506.290504481872	-395.9834984151196	Autotranscriptaviridae	Teseptimavirus T7	0
AY962392	-850.9657754891431	-159.43289810045852	Straboviridae	Biquartavirus 44RR2	3
AY967407	-910.3816473146384	-123.287627643291	Straboviridae	Pseudotevenvirus RB43	3
CP000623	380.6919666421272	242.6324397966241	Peduoviridae	Tigrvirus E202	8
CP017906	760.3981876768346	-33.60415966394287	Inoviridae	Vibrio phage K05K4_VK05K4_2	4
DQ079875	837.5674233656857	-37.15426089721733	Microviridae	Alphatrevirus NC28	4
DQ079881	833.0917027467738	-32.22781299534274	Microviridae	Sinsheimervirus phiX174	4
DQ079902	855.7458851051467	-38.13553468114661	Microviridae	Gequatrovirus G4	4
DQ087285	394.341449033529	219.99285739643852	Peduoviridae	Tigrvirus phi52237	8
DQ111067	551.0221823851755	-390.9567518737939	Autotranscriptaviridae	Kayfunavirus K1F	0
DQ149023	-423.92799120685527	189.76843413954452	Kyanoviridae	Ormenosvirus syn9	9
DQ426905	360.13838180418475	265.92298860152084	Peduoviridae	Baylorvirus PHL101	8
DQ529280	-830.9526161362668	-133.67631685890888	Straboviridae	Tulanevirus bteighttwo	3
EF380010	836.5735430456091	-36.7227562861615	Microviridae	Sinsheimervirus phiX174	4
EF380017	834.6820113104343	-31.53440006034917	Microviridae	Sinsheimervirus phiX174	4
EF489910	789.7708721544216	-27.087040613309146	Inoviridae	Psecadovirus PSH1	4
EF529515	444.7628255707391	217.78934289947463	Aliceevansviridae	Brussowvirus bv858	8
EU197055	-615.9068085765076	8.581397075140728	Chimalliviridae	Serwervirus 201phi21	1
EU236438	401.170001301334	-333.309037242862	Autoscriptoviridae	Phikmvvirus PT2	0
EU734174	484.6406638535639	-390.05646766490565	Autotranscriptaviridae	Teseptimavirus 13a	0
FJ839692	-1068.5862751876466	-272.73355467466206	Straboviridae	Tequatrovirus RB14	3
FM207411	-456.6194465769531	154.135631922928	Kyanoviridae	Gibbetvirus rsm4	9
FN263372	398.29179953058247	-327.67941532514	Autoscriptoviridae	Phikmvvirus kF77	0
GQ153918	791.5676670963855	-65.96062503916596	Inoviridae	Inovirus M13	4
GU071097	-426.4151128684018	178.7670243353996	Kyanoviridae	Glaucusvirus ssm5	9
GU071099	-440.2125720658046	152.3575737193874	Kyanoviridae	Thaumasvirus stim4	9
GU071106	-398.7775054125996	179.55873342266617	Kyanoviridae	Pontusvirus syn19	9
GU169904	-195.4934755082236	89.52712215158923	Andersonviridae	Staphylococcus phage SA1	5
GU196279	324.717800205565	244.08853293809	Sarkviridae	Kagunavirus K1ind1	2
GU396103	-961.6842395650366	-83.2155442304369	Straboviridae	Angelvirus px29	3
HM753670	826.7547355635277	-31.8242782142527	Microviridae	Sinsheimervirus phiX174	4
HM753676	832.9662278464191	-33.1518714344051	Microviridae	Sinsheimervirus phiX174	4
HM753684	831.8312063121919	-39.63352834803414	Microviridae	Sinsheimervirus phiX174	4
HM753699	835.4382444842747	-38.58395145007561	Microviridae	Sinsheimervirus phiX174	4
HM753701	836.1142560527612	-31.279069307386777	Microviridae	Sinsheimervirus phiX174	4
HM753702	837.9322960453107	-37.26725108125687	Microviridae	Sinsheimervirus phiX174	4
HM775310	827.0920959365733	-28.348005473032003	Microviridae	Sinsheimervirus phiX174	4
HM997020	-1060.2620326971712	-275.6837170955818	Straboviridae	Tequatrovirus vtec	3
HQ186308	429.88996207232	-355.18254991541994	Autoscriptoviridae	Friunavirus AB1	0
HQ406778	-310.429309198993	-4.843748615604383	Demerecviridae	Tequintavirus SPC35	5
HQ829472	-969.7107195306896	-218.19226207464357	Straboviridae	Dhakavirus bp7	3
HQ832595	-276.2575333704997	76.97375385341854	Vandenendeviridae	Pakpunavirus PaP1	5
JF461087	-189.94986222419743	23.127044378506696	Andersonviridae	Felixounavirus felixO1	5
JF719734	808.7196596688138	-57.429672812092335	Inoviridae	Inovirus M13	4
JF974299	-406.522251986745	198.83953457171205	Kyanoviridae	Neritesvirus scam8	9
JN225449	-252.27241531866457	77.09961869653239	Andersonviridae	Felixounavirus UAB87	5
JN371768	-403.51916546719735	198.5218055673558	Kyanoviridae	Namakavirus smbcm6	9
JN593240	-663.7612630431385	36.75169698420517	Ackermannviridae	Kuttervirus CBA120	1
JN651747	475.98899421842975	-337.2622171964723	Autonotataviridae	Aerosvirus AS7	0
JN654439	-559.5227758020685	148.5511857237459	Herelleviridae	Wphvirus BPS13	9
JN848801	805.6356010744214	-20.17341667590884	Inoviridae	Vicialiavirus VCY	4
