	Accession	PC1	PC2	Family	Species
0	MH550421.1	28.466268356935956	-4.162729386866916	Straboviridae	Enterobacteria phage T6
1	MH751506.1	2.5023293254898817	-11.242194064223543	Straboviridae	Escherichia phage T2
2	MZ501046.1	55.616424591197955	-34.42941451722779	Straboviridae	Escherichia phage AdolfPortmann
3	MZ501047.1	-119.0983279447815	-11.996720863721237	Straboviridae	Escherichia phage AlbertHofmann
4	MZ501048.1	99.83922237759	10.66826473684253		Escherichia phage AlexBoehm
5	MZ501049.1	-46.036638063678936	-35.94101038666295	Schitoviridae	Escherichia phage AlfredRasser
6	MZ501050.1	42.83638374863759	14.482374856998572	Straboviridae	Escherichia phage AndreasVesalius
7	MZ501051.1	-82.10169418441873	17.098572575555476	Drexlerviridae	Escherichia phage AugustePiccard
8	MZ501052.1	51.192031332873654	12.35291023714618	Straboviridae	Escherichia phage AugustSocin
9	MZ501053.1	-81.27966562513501	40.377861934599025	Drexlerviridae	Escherichia phage BrunoManser
10	MZ501054.1	28.917752955523554	-14.772636429809905		Escherichia phage CarlMeissner
11	MZ501055.1	65.58877016768017	8.927775164479918	Autotranscriptaviridae	Escherichia phage CarlSpitteler
12	MZ501056.1	-124.07360477372592	-12.63707090795573	Straboviridae	Escherichia phage ChristianSchoenbein
13	MZ501057.1	-48.237809112067765	17.170257872001404		Escherichia phage ChristophMerian
14	MZ501058.1	-30.196253002361857	-18.649422607376437	Demerecviridae	Escherichia phage DaisyDussoix
15	MZ501059.1	-74.70187331310197	31.391868341821283	Drexlerviridae	Escherichia phage DanielBernoulli
16	MZ501060.1	45.977013597234276	33.96886073082703		Escherichia phage DrSchubert
17	MZ501061.1	45.53038089935396	-62.49632458393157		Escherichia phage EduardKellenberger
18	MZ501062.1	25.895770719707627	35.80277719247094		Escherichia phage EmilHeitz
19	MZ501063.1	-122.47938320310739	-8.81969758025416		Escherichia phage EmilieFrey
20	MZ501064.1	17.573856600787195	20.664785725503304	Autotranscriptaviridae	Escherichia phage ErnstBeyeler
21	MZ501065.1	90.54481291365559	30.04344742317642	Straboviridae	Escherichia phage FelixPlatter
22	MZ501066.1	22.361667012600492	37.628116725516236	Straboviridae	Escherichia phage FriedrichMiescher
23	MZ501067.1	53.79037539035156	-7.677635127456277	Straboviridae	Escherichia phage FriedrichZschokke
24	MZ501068.1	-60.62804888541558	-24.13459365535478		Escherichia phage FritzHoffmann
